,model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize
2282,Aygo,2017,7695,Manual,19451,Petrol,145,69.0,1.0
2284,Aygo,2018,7998,Manual,15111,Petrol,150,68.9,1.0
2285,Aygo,2017,7498,Manual,23151,Petrol,150,68.9,1.0
2286,Aygo,2017,7498,Manual,24102,Petrol,150,68.9,1.0
2287,Aygo,2017,6498,Manual,19889,Petrol,150,69.0,1.0
2288,Aygo,2017,7998,Manual,20393,Petrol,150,68.9,1.0
2289,Aygo,2018,8698,Manual,6144,Petrol,150,68.9,1.0
2290,Aygo,2017,6495,Manual,19402,Petrol,145,69.0,1.0
2291,Aygo,2018,7410,Manual,21501,Petrol,145,68.9,1.0
2292,Aygo,2017,6298,Manual,33402,Petrol,0,69.0,1.0
2293,Aygo,2017,7888,Manual,20857,Petrol,0,68.9,1.0
2294,Aygo,2017,6244,Manual,19287,Petrol,150,69.0,1.0
2295,Aygo,2015,6998,Manual,28880,Petrol,0,69.0,1.0
2296,Aygo,2017,7998,Manual,6240,Petrol,145,68.9,1.0
2297,Aygo,2016,7950,Manual,21054,Petrol,0,69.0,1.0
2298,Aygo,2019,8998,Manual,3712,Petrol,145,56.5,1.0
2299,Aygo,2017,6998,Manual,39344,Petrol,150,68.9,1.0
2300,Aygo,2016,6698,Manual,35950,Petrol,0,69.0,1.0
2301,Aygo,2017,7498,Manual,30920,Petrol,145,68.9,1.0
2302,Aygo,2017,7498,Manual,23555,Petrol,145,68.9,1.0
2303,Aygo,2017,9498,Semi-Auto,10160,Petrol,145,67.3,1.0
2304,Aygo,2017,7698,Manual,25580,Petrol,145,68.9,1.0
2305,Aygo,2017,7998,Manual,11605,Petrol,145,68.9,1.0
2306,Aygo,2017,7698,Manual,13760,Petrol,145,68.9,1.0
2307,Aygo,2017,7698,Manual,16220,Petrol,145,68.9,1.0
2308,Aygo,2016,6695,Manual,25997,Petrol,0,69.0,1.0
2309,Aygo,2016,8450,Manual,12935,Petrol,0,69.0,1.0
2310,Aygo,2016,8450,Manual,12935,Petrol,0,69.0,1.0
2311,Aygo,2018,7711,Manual,14143,Petrol,150,56.5,1.0
2312,Aygo,2019,8199,Manual,7179,Petrol,145,56.5,1.0
2313,Aygo,2017,8995,Manual,11342,Petrol,145,68.9,1.0
2314,Aygo,2020,10295,Manual,1310,Petrol,150,57.7,1.0
2315,Aygo,2018,8490,Manual,7050,Petrol,145,56.5,1.0
2316,Aygo,2015,5945,Manual,23755,Petrol,0,69.0,1.0
2317,Aygo,2014,5995,Manual,35753,Petrol,0,69.0,1.0
2318,Aygo,2017,7795,Manual,15896,Petrol,150,68.9,1.0
2319,Aygo,2019,9650,Manual,2417,Petrol,145,57.7,1.0
2320,Aygo,2015,5695,Manual,42761,Petrol,0,69.0,1.0
2321,Aygo,2017,7995,Manual,9335,Petrol,150,68.9,1.0
2322,Aygo,2017,7995,Manual,6351,Petrol,145,68.9,1.0
2323,Aygo,2019,9995,Manual,6365,Petrol,145,57.7,1.0
2324,Aygo,2019,10695,Semi-Auto,7812,Petrol,145,55.4,1.0
2325,Aygo,2017,7795,Manual,7718,Petrol,145,68.9,1.0
2326,Aygo,2017,9995,Semi-Auto,11480,Petrol,145,67.3,1.0
2327,Aygo,2016,6000,Manual,34644,Petrol,0,69.0,1.0
2328,Aygo,2018,7495,Manual,30500,Petrol,145,68.9,1.0
2329,Aygo,2018,7995,Manual,8525,Petrol,145,56.5,1.0
2330,Aygo,2017,7995,Manual,37392,Petrol,145,68.9,1.0
2331,Aygo,2014,5395,Manual,29000,Petrol,0,69.0,1.0
2332,Aygo,2018,5790,Manual,40000,Petrol,150,69.0,1.0
2334,Aygo,2017,5995,Manual,25629,Petrol,0,69.0,1.0
2335,Aygo,2017,7380,Manual,22314,Petrol,0,68.9,1.0
2336,Aygo,2013,3990,Manual,40003,Petrol,0,65.7,1.0
2337,Aygo,2015,5050,Manual,41700,Petrol,0,69.0,1.0
2338,Aygo,2017,5444,Manual,32465,Petrol,0,69.0,1.0
2339,Aygo,2017,7250,Manual,21680,Petrol,145,68.9,1.0
2340,Aygo,2018,7995,Manual,10543,Petrol,145,69.0,1.0
2341,Aygo,2017,7000,Manual,17008,Petrol,0,69.0,1.0
2342,Aygo,2018,8995,Manual,8525,Petrol,145,56.5,1.0
2343,Aygo,2017,7000,Manual,15182,Petrol,145,69.0,1.0
2344,Aygo,2017,7495,Manual,19505,Petrol,145,68.9,1.0
2345,Aygo,2016,6500,Manual,23850,Petrol,0,69.0,1.0
2346,Aygo,2016,7495,Manual,34136,Petrol,0,69.0,1.0
2347,Aygo,2019,9995,Manual,2127,Petrol,145,57.7,1.0
2348,Aygo,2017,8795,Manual,4002,Petrol,145,68.9,1.0
2349,Aygo,2014,6295,Manual,38385,Petrol,0,69.0,1.0
2350,Aygo,2017,7750,Manual,11730,Petrol,0,68.9,1.0
2351,Aygo,2017,7750,Manual,9917,Petrol,145,68.9,1.0
2352,Aygo,2019,10500,Manual,402,Petrol,145,56.5,1.0
2353,Aygo,2017,9490,Semi-Auto,5300,Petrol,150,67.3,1.0
2354,Aygo,2019,9510,Manual,1157,Petrol,145,57.7,1.0
2355,Aygo,2014,6000,Manual,25568,Petrol,0,69.0,1.0
2356,Aygo,2017,5770,Manual,34486,Petrol,0,69.0,1.0
2357,Aygo,2017,8250,Manual,7235,Petrol,145,68.9,1.0
2358,Aygo,2015,6500,Manual,23427,Petrol,0,69.0,1.0
2359,Aygo,2016,7971,Manual,10426,Petrol,0,69.0,1.0
2360,Aygo,2018,7990,Manual,13007,Petrol,145,68.9,1.0
2362,Aygo,2014,4998,Manual,30362,Petrol,0,69.0,1.0
2363,Aygo,2019,10000,Manual,1542,Petrol,145,57.7,1.0
2364,Aygo,2019,10000,Manual,860,Petrol,145,57.7,1.0
2365,Aygo,2015,6000,Manual,32084,Petrol,0,69.0,1.0
2366,Aygo,2019,10000,Manual,759,Petrol,145,57.7,1.0
2367,Aygo,2018,8250,Manual,7378,Petrol,145,68.9,1.0
2368,Aygo,2014,5230,Manual,30000,Petrol,0,69.0,1.0
2369,Aygo,2018,8500,Manual,11949,Petrol,145,68.9,1.0
2370,Aygo,2018,7500,Manual,13570,Petrol,145,69.0,1.0
2371,Aygo,2017,7500,Manual,17997,Petrol,145,68.9,1.0
2372,Aygo,2018,8250,Manual,16409,Petrol,145,68.9,1.0
2373,Aygo,2016,8000,Manual,15951,Petrol,0,69.0,1.0
2374,Aygo,2018,7695,Manual,13944,Petrol,145,68.9,1.0
2375,Aygo,2019,10000,Manual,1000,Petrol,145,57.7,1.0
2376,Aygo,2019,10000,Manual,1000,Petrol,145,57.7,1.0
2377,Aygo,2015,5999,Manual,41758,Petrol,0,69.0,1.0
2378,Aygo,2015,6250,Manual,21038,Petrol,0,69.0,1.0
2379,Aygo,2017,7750,Manual,30678,Petrol,150,68.9,1.0
2380,Aygo,2017,7750,Manual,31839,Petrol,0,68.9,1.0
2381,Aygo,2016,8000,Manual,17421,Petrol,0,69.0,1.0
2382,Aygo,2016,8000,Manual,16799,Petrol,0,69.0,1.0
2383,Aygo,2017,6500,Manual,25978,Petrol,145,69.0,1.0
2384,Aygo,2017,7000,Manual,20208,Petrol,145,69.0,1.0
2385,Aygo,2017,7750,Manual,26779,Petrol,145,68.9,1.0
2386,Aygo,2017,8500,Manual,14453,Petrol,145,68.9,1.0
2387,Aygo,2019,9790,Manual,2967,Petrol,145,57.7,1.0
2388,Aygo,2017,9000,Manual,16490,Petrol,145,68.9,1.0
2389,Aygo,2017,8000,Manual,15378,Petrol,0,68.9,1.0
2390,Aygo,2014,5500,Manual,37756,Petrol,0,69.0,1.0
2391,Aygo,2019,8980,Manual,5000,Petrol,145,56.5,1.0
2392,Aygo,2016,7250,Manual,21304,Petrol,0,69.0,1.0
2393,Aygo,2016,7500,Manual,37688,Petrol,0,69.0,1.0
2394,Aygo,2016,5870,Manual,30582,Petrol,0,69.0,1.0
2395,Aygo,2015,5150,Manual,44651,Petrol,0,69.0,1.0
2396,Aygo,2019,8790,Manual,14887,Petrol,145,57.7,1.0
2397,Aygo,2020,9680,Manual,5000,Petrol,145,57.7,1.0
2398,Aygo,2018,7980,Manual,6640,Petrol,145,68.9,1.0
2399,Aygo,2018,7780,Manual,13658,Petrol,150,68.9,1.0
2400,Aygo,2017,5790,Manual,26333,Petrol,0,69.0,1.0
2401,Aygo,2017,7500,Manual,21882,Petrol,0,68.9,1.0
2402,Aygo,2017,8250,Manual,11459,Petrol,150,68.9,1.0
2403,Aygo,2017,7999,Manual,13000,Petrol,150,68.9,1.0
2404,Aygo,2016,6550,Manual,24594,Petrol,0,69.0,1.0
2405,Aygo,2015,6330,Manual,22333,Petrol,0,69.0,1.0
2406,Aygo,2017,7990,Semi-Auto,20662,Petrol,150,67.0,1.0
2407,Aygo,2017,8298,Manual,2509,Petrol,0,68.9,1.0
2408,Aygo,2018,6298,Manual,22794,Petrol,150,69.0,1.0
2409,Aygo,2015,5610,Manual,33344,Petrol,0,69.0,1.0
2411,Aygo,2018,6657,Manual,19751,Petrol,145,69.0,1.0
2412,Aygo,2017,8499,Manual,13534,Petrol,145,68.9,1.0
2413,Aygo,2016,6465,Manual,23841,Petrol,0,69.0,1.0
2414,Aygo,2016,6995,Manual,23499,Petrol,0,69.0,1.0
2415,Aygo,2016,7495,Manual,9572,Petrol,0,69.0,1.0
2416,Aygo,2017,7995,Manual,13937,Petrol,145,69.0,1.0
2417,Aygo,2015,6995,Manual,19062,Petrol,0,69.0,1.0
2418,Aygo,2019,9995,Manual,4122,Petrol,145,57.7,1.0
2419,Aygo,2018,6790,Manual,11015,Petrol,145,69.0,1.0
2420,Aygo,2016,7291,Semi-Auto,31096,Petrol,0,67.0,1.0
2421,Aygo,2019,9295,Manual,5000,Petrol,145,57.7,1.0
2422,Aygo,2019,9295,Manual,5000,Petrol,145,57.7,1.0
2423,Aygo,2018,8788,Manual,12453,Petrol,145,68.9,1.0
2424,Aygo,2019,9990,Semi-Auto,14408,Petrol,145,56.5,1.0
2425,Aygo,2018,8690,Manual,6598,Petrol,145,56.5,1.0
2426,Aygo,2018,8490,Manual,12589,Petrol,145,56.5,1.0
2427,Aygo,2016,8000,Semi-Auto,6746,Petrol,0,67.0,1.0
2428,Aygo,2018,8790,Manual,31964,Petrol,145,56.5,1.0
2429,Aygo,2019,9290,Manual,19151,Petrol,150,57.7,1.0
2430,Aygo,2017,7000,Manual,12863,Petrol,0,69.0,1.0
2431,Aygo,2019,8990,Manual,11705,Petrol,150,57.7,1.0
2432,Aygo,2019,9990,Manual,13218,Petrol,150,56.5,1.0
2433,Aygo,2019,10980,Manual,4000,Petrol,145,57.7,1.0
2434,Aygo,2017,7480,Manual,22744,Petrol,0,69.0,1.0
2435,Aygo,2015,5498,Manual,33248,Petrol,0,69.0,1.0
2436,Aygo,2018,9488,Semi-Auto,15212,Petrol,150,67.3,1.0
2437,Aygo,2019,7890,Manual,8441,Petrol,145,56.5,1.0
2438,Aygo,2019,8790,Manual,12143,Petrol,145,57.7,1.0
2439,Aygo,2017,6490,Manual,10967,Petrol,0,69.0,1.0
2440,Aygo,2015,5995,Manual,26200,Petrol,0,69.0,1.0
2441,Aygo,2019,8788,Manual,3305,Petrol,150,56.5,1.0
2442,Aygo,2016,7000,Manual,14347,Petrol,0,69.0,1.0
2443,Aygo,2018,7795,Manual,21477,Petrol,150,68.9,1.0
2444,Aygo,2015,5998,Manual,21425,Petrol,0,69.0,1.0
2445,Aygo,2017,7488,Manual,13348,Petrol,145,68.9,1.0
2446,Aygo,2017,7498,Manual,15261,Petrol,150,68.9,1.0
2447,Aygo,2019,8748,Manual,3552,Petrol,145,56.5,1.0
2448,Aygo,2020,13495,Semi-Auto,999,Petrol,145,55.4,1.0
2450,Aygo,2019,8690,Manual,1996,Petrol,145,56.5,1.0
2451,Aygo,2019,8490,Manual,8490,Petrol,145,56.5,1.0
2452,Aygo,2019,8495,Manual,5519,Petrol,145,56.5,1.0
2453,Aygo,2019,8295,Manual,11283,Petrol,145,56.5,1.0
2454,Aygo,2019,8295,Manual,11065,Petrol,145,56.5,1.0
2455,Aygo,2019,10000,Manual,4883,Petrol,145,56.5,1.0
2456,Aygo,2018,9495,Manual,5253,Petrol,145,56.5,1.0
2457,Aygo,2017,7995,Manual,6500,Petrol,145,68.9,1.0
2458,Aygo,2018,9295,Manual,11000,Petrol,150,56.5,1.0
2459,Aygo,2017,6980,Manual,6545,Petrol,145,69.0,1.0
2460,Aygo,2016,6380,Manual,31249,Petrol,0,69.0,1.0
2461,Aygo,2018,8980,Manual,7746,Petrol,145,56.5,1.0
2462,Aygo,2018,7980,Manual,8622,Petrol,145,68.9,1.0
2463,Aygo,2017,7480,Manual,16987,Petrol,145,69.0,1.0
2464,Aygo,2018,7880,Manual,22024,Petrol,145,68.9,1.0
2465,Aygo,2015,5995,Manual,19702,Petrol,0,69.0,1.0
2466,Aygo,2016,6480,Manual,19252,Petrol,0,69.0,1.0
2467,Aygo,2017,7680,Manual,12607,Petrol,145,68.9,1.0
2468,Aygo,2019,9780,Manual,1500,Petrol,145,57.7,1.0
2469,Aygo,2017,7480,Manual,13229,Petrol,145,68.9,1.0
2470,Aygo,2019,10695,Manual,50,Petrol,150,57.7,1.0
2471,Aygo,2019,9950,Manual,6010,Petrol,150,57.7,1.0
2472,Aygo,2017,8995,Semi-Auto,17452,Petrol,145,67.3,1.0
2473,Aygo,2013,4199,Manual,25052,Petrol,0,65.7,1.0
2474,Aygo,2018,6970,Manual,42248,Petrol,145,69.0,1.0
2475,Aygo,2018,7988,Manual,14252,Petrol,150,68.9,1.0
2476,Aygo,2015,6888,Manual,18822,Petrol,0,69.0,1.0
2477,Aygo,2019,8690,Manual,2438,Petrol,145,56.5,1.0
2478,Aygo,2019,8690,Manual,3708,Petrol,145,56.5,1.0
2479,Aygo,2017,7288,Manual,14876,Petrol,145,68.9,1.0
2480,Aygo,2015,6588,Manual,21875,Petrol,0,69.0,1.0
2481,Aygo,2017,6388,Manual,26850,Petrol,0,69.0,1.0
2482,Aygo,2017,6980,Manual,15172,Petrol,0,69.0,1.0
2483,Aygo,2019,9990,Manual,5709,Petrol,145,57.7,1.0
2485,Aygo,2016,6230,Manual,15735,Petrol,0,69.0,1.0
2486,Aygo,2017,6790,Manual,35354,Petrol,150,68.9,1.0
2487,Aygo,2017,6990,Manual,32236,Petrol,150,68.9,1.0
2488,Aygo,2017,6290,Manual,35569,Petrol,145,69.0,1.0
2489,Aygo,2015,4910,Manual,44651,Petrol,0,69.0,1.0
2490,Aygo,2019,10290,Manual,1118,Petrol,150,57.7,1.0
2491,Aygo,2019,10290,Manual,1546,Petrol,145,57.7,1.0
2492,Aygo,2019,9990,Manual,1707,Petrol,145,57.7,1.0
2493,Aygo,2017,8890,Manual,20546,Petrol,0,68.9,1.0
2494,Aygo,2019,9990,Manual,7642,Petrol,145,57.7,1.0
2495,Aygo,2019,9290,Manual,718,Petrol,145,56.5,1.0
2496,Aygo,2017,6992,Manual,16934,Petrol,145,68.9,1.0
2497,Aygo,2016,8990,Semi-Auto,27314,Petrol,0,67.0,1.0
2498,Aygo,2019,9990,Manual,2290,Petrol,145,57.7,1.0
2499,Aygo,2014,5992,Semi-Auto,11265,Petrol,20,62.8,1.0
2500,Aygo,2018,7690,Manual,12515,Petrol,145,68.9,1.0
2501,Aygo,2017,8495,Manual,28500,Petrol,0,68.9,1.0
2502,Aygo,2013,5495,Semi-Auto,17000,Petrol,20,62.8,1.0
2503,Aygo,2017,7495,Manual,6500,Petrol,150,69.0,1.0
2504,Aygo,2018,9290,Manual,10596,Petrol,150,68.9,1.0
2505,Aygo,2017,8295,Manual,8800,Petrol,145,68.9,1.0
2506,Aygo,2019,10495,Manual,4,Petrol,145,57.7,1.0
2507,Aygo,2019,9995,Manual,2411,Petrol,145,57.7,1.0
2508,Aygo,2019,9995,Manual,2541,Petrol,145,57.7,1.0
2509,Aygo,2019,9995,Manual,2642,Petrol,145,57.7,1.0
2510,Aygo,2017,6995,Manual,17859,Petrol,145,69.0,1.0
2511,Aygo,2019,9995,Manual,2136,Petrol,145,57.7,1.0
2512,Aygo,2015,5995,Manual,41000,Petrol,0,69.0,1.0
2513,Aygo,2015,7295,Manual,10687,Petrol,0,69.0,1.0
2514,Aygo,2016,6495,Manual,12552,Petrol,0,69.0,1.0
